REF_AREA,INDICATOR,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_STATUS,EXTRACTION_METHOD,SOURCE,REF_AREA_LABEL,INDICATOR_LABEL,DATA_DATE
NE-5,RICE_YIELD_KG_HA,2024/2025,2169.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,TAHOUA,Riz / Rendement,2026-09-14
NE-6,RICE_YIELD_KG_HA,2024/2025,2221.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,TILLABERY,Riz / Rendement,2026-09-14
NE-7,RICE_YIELD_KG_HA,2024/2025,2609.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,ZINDER,Riz / Rendement,2026-09-14
_T,RICE_YIELD_KG_HA,2024/2025,2148.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,ENSEMBLE,Riz / Rendement,2026-09-14
NE-2,RICE_PROD_T,2024/2025,5360.0,t,A,pdfplumber,bulletin_3T25.pdf,DIFFA,Riz / Production,2026-09-14
NE-3,RICE_PROD_T,2024/2025,13833.0,t,A,pdfplumber,bulletin_3T25.pdf,DOSSO,Riz / Production,2026-09-14
NE-4,RICE_PROD_T,2024/2025,2185.0,t,A,pdfplumber,bulletin_3T25.pdf,MARADI,Riz / Production,2026-09-14
NE-5,RICE_PROD_T,2024/2025,4439.0,t,A,pdfplumber,bulletin_3T25.pdf,TAHOUA,Riz / Production,2026-09-14
NE-6,RICE_PROD_T,2024/2025,25478.0,t,A,pdfplumber,bulletin_3T25.pdf,TILLABERY,Riz / Production,2026-09-14
NE-7,RICE_PROD_T,2024/2025,19717.0,t,A,pdfplumber,bulletin_3T25.pdf,ZINDER,Riz / Production,2026-09-14
_T,RICE_PROD_T,2024/2025,71012.0,t,A,pdfplumber,bulletin_3T25.pdf,ENSEMBLE,Riz / Production,2026-09-14
NE-1,MAIZE_AREA_HA,2024/2025,631.0,ha,A,pdfplumber,bulletin_3T25.pdf,AGADEZ,Maïs / Superficie,2026-09-14
NE-2,MAIZE_AREA_HA,2024/2025,8127.0,ha,A,pdfplumber,bulletin_3T25.pdf,DIFFA,Maïs / Superficie,2026-09-14
NE-3,MAIZE_AREA_HA,2024/2025,3194.0,ha,A,pdfplumber,bulletin_3T25.pdf,DOSSO,Maïs / Superficie,2026-09-14
NE-4,MAIZE_AREA_HA,2024/2025,3049.0,ha,A,pdfplumber,bulletin_3T25.pdf,MARADI,Maïs / Superficie,2026-09-14
NE-5,MAIZE_AREA_HA,2024/2025,1248.0,ha,A,pdfplumber,bulletin_3T25.pdf,TAHOUA,Maïs / Superficie,2026-09-14
NE-6,MAIZE_AREA_HA,2024/2025,2248.0,ha,A,pdfplumber,bulletin_3T25.pdf,TILLABERY,Maïs / Superficie,2026-09-14
NE-7,MAIZE_AREA_HA,2024/2025,1789.0,ha,A,pdfplumber,bulletin_3T25.pdf,ZINDER,Maïs / Superficie,2026-09-14
NE-8,MAIZE_AREA_HA,2024/2025,105.0,ha,A,pdfplumber,bulletin_3T25.pdf,NIAMEY.,Maïs / Superficie,2026-09-14
_T,MAIZE_AREA_HA,2024/2025,20391.0,ha,A,pdfplumber,bulletin_3T25.pdf,ENSEMBLE,Maïs / Superficie,2026-09-14
NE-1,MAIZE_YIELD_KG_HA,2024/2025,886.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,AGADEZ,Maïs / Rendement,2026-09-14
NE-2,MAIZE_YIELD_KG_HA,2024/2025,471.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,DIFFA,Maïs / Rendement,2026-09-14
NE-3,MAIZE_YIELD_KG_HA,2024/2025,685.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,DOSSO,Maïs / Rendement,2026-09-14
NE-4,MAIZE_YIELD_KG_HA,2024/2025,759.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,MARADI,Maïs / Rendement,2026-09-14
NE-5,MAIZE_YIELD_KG_HA,2024/2025,690.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,TAHOUA,Maïs / Rendement,2026-09-14
NE-6,MAIZE_YIELD_KG_HA,2024/2025,572.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,TILLABERY,Maïs / Rendement,2026-09-14
NE-7,MAIZE_YIELD_KG_HA,2024/2025,742.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,ZINDER,Maïs / Rendement,2026-09-14
NE-8,MAIZE_YIELD_KG_HA,2024/2025,686.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,NIAMEY.,Maïs / Rendement,2026-09-14
_T,MAIZE_YIELD_KG_HA,2024/2025,610.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,ENSEMBLE,Maïs / Rendement,2026-09-14
NE-1,MAIZE_PROD_T,2024/2025,559.0,t,A,pdfplumber,bulletin_3T25.pdf,AGADEZ,Maïs / Production,2026-09-14
NE-2,MAIZE_PROD_T,2024/2025,3825.0,t,A,pdfplumber,bulletin_3T25.pdf,DIFFA,Maïs / Production,2026-09-14
NE-3,MAIZE_PROD_T,2024/2025,2187.0,t,A,pdfplumber,bulletin_3T25.pdf,DOSSO,Maïs / Production,2026-09-14
NE-4,MAIZE_PROD_T,2024/2025,2313.0,t,A,pdfplumber,bulletin_3T25.pdf,MARADI,Maïs / Production,2026-09-14
NE-5,MAIZE_PROD_T,2024/2025,861.0,t,A,pdfplumber,bulletin_3T25.pdf,TAHOUA,Maïs / Production,2026-09-14
NE-6,MAIZE_PROD_T,2024/2025,1285.0,t,A,pdfplumber,bulletin_3T25.pdf,TILLABERY,Maïs / Production,2026-09-14
NE-7,MAIZE_PROD_T,2024/2025,1327.0,t,A,pdfplumber,bulletin_3T25.pdf,ZINDER,Maïs / Production,2026-09-14
NE-8,MAIZE_PROD_T,2024/2025,72.0,t,A,pdfplumber,bulletin_3T25.pdf,NIAMEY.,Maïs / Production,2026-09-14
_T,MAIZE_PROD_T,2024/2025,12429.0,t,A,pdfplumber,bulletin_3T25.pdf,ENSEMBLE,Maïs / Production,2026-09-14
NE-3,FONIO_AREA_HA,2024/2025,6807.0,ha,A,pdfplumber,bulletin_3T25.pdf,DOSSO,Fonio / Superficie,2026-09-14
_T,FONIO_AREA_HA,2024/2025,6807.0,ha,A,pdfplumber,bulletin_3T25.pdf,ENSEMBLE,Fonio / Superficie,2026-09-14
NE-3,FONIO_YIELD_KG_HA,2024/2025,719.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,DOSSO,Fonio / Rendement,2026-09-14
_T,FONIO_YIELD_KG_HA,2024/2025,719.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,ENSEMBLE,Fonio / Rendement,2026-09-14
NE-3,FONIO_PROD_T,2024/2025,4896.0,t,A,pdfplumber,bulletin_3T25.pdf,DOSSO,Fonio / Production,2026-09-14
_T,FONIO_PROD_T,2024/2025,4896.0,t,A,pdfplumber,bulletin_3T25.pdf,ENSEMBLE,Fonio / Production,2026-09-14
NE-1,COWPEA_AREA_HA,2024/2025,162.0,ha,A,pdfplumber,bulletin_3T25.pdf,AGADEZ,Niébé / Superficie,2026-09-14
NE-2,COWPEA_AREA_HA,2024/2025,49416.0,ha,A,pdfplumber,bulletin_3T25.pdf,DIFFA,Niébé / Superficie,2026-09-14
NE-3,COWPEA_AREA_HA,2024/2025,1057859.0,ha,A,pdfplumber,bulletin_3T25.pdf,DOSSO,Niébé / Superficie,2026-09-14
NE-4,COWPEA_AREA_HA,2024/2025,1190926.0,ha,A,pdfplumber,bulletin_3T25.pdf,MARADI,Niébé / Superficie,2026-09-14
